future_code,market,future_name,clock,date,categoryID,open_price,max_price,min_price,close_price,yesterday_price,buy_price,sell_price,newest_price,buy_amount,sell_amount,amount,volume,everage_price
V0,DCE,PVC连续,230000,2023-10-10,2023-10-10,5900.0,5927.0,5872.0,0.0,5968.0,5915.0,5916.0,5915.0,45.0,65.0,464138.0,949059.0,5899.843
V2310,DCE,PVC2310,225941,2023-10-10,2023-10-10,5753.0,5800.0,5753.0,0.0,5852.0,5620.0,5800.0,5800.0,6.0,20.0,264.0,10819.0,5785.879
V2311,DCE,PVC2311,225958,2023-10-10,2023-10-10,5848.0,5848.0,5795.0,0.0,5886.0,5831.0,5837.0,5837.0,1.0,5.0,18557.0,66998.0,5823.105
V2312,DCE,PVC2312,225958,2023-10-10,2023-10-10,5891.0,5891.0,5839.0,0.0,5931.0,5877.0,5890.0,5878.0,3.0,1.0,27057.0,83062.0,5865.166
V2401,DCE,PVC2401,230000,2023-10-10,2023-10-10,5900.0,5927.0,5872.0,0.0,5968.0,5915.0,5916.0,5915.0,45.0,65.0,464138.0,949059.0,5899.843
V2402,DCE,PVC2402,230000,2023-10-10,2023-10-10,5932.0,5945.0,5898.0,0.0,5991.0,5925.0,5947.0,5936.0,1.0,121.0,12770.0,37389.0,5922.614
V2403,DCE,PVC2403,225958,2023-10-10,2023-10-10,5952.0,5966.0,5919.0,0.0,6007.0,5950.0,5959.0,5956.0,1.0,1.0,7187.0,28373.0,5945.849
V2404,DCE,PVC2404,225958,2023-10-10,2023-10-10,6003.0,6019.0,5977.0,0.0,6066.0,5945.0,6038.0,6010.0,1.0,1.0,9471.0,14531.0,6002.056
V2405,DCE,PVC2405,230000,2023-10-10,2023-10-10,6028.0,6030.0,5987.0,0.0,6064.0,6015.0,6019.0,6018.0,1.0,2.0,23619.0,97274.0,6010.944
V2406,DCE,PVC2406,225958,2023-10-10,2023-10-10,6032.0,6032.0,5996.0,0.0,6081.0,5999.0,6042.0,6021.0,3.0,4.0,31.0,1527.0,6016.484
V2407,DCE,PVC2407,230000,2023-10-10,2023-10-10,6014.0,6042.0,6000.0,0.0,6076.0,6001.0,6048.0,6035.0,1.0,1.0,29.0,1541.0,6018.931
V2408,DCE,PVC2408,225957,2023-10-10,2023-10-10,6014.0,6046.0,6003.0,0.0,6077.0,6018.0,6047.0,6030.0,1.0,3.0,29.0,627.0,6020.31
V2409,DCE,PVC2409,230000,2023-10-10,2023-10-10,6026.0,6052.0,6002.0,0.0,6060.0,6035.0,6044.0,6042.0,1.0,1.0,502.0,1733.0,6030.251
P0,DCE,棕榈油连续,230000,2023-10-10,2023-10-10,7076.0,7096.0,7042.0,0.0,7072.0,7066.0,7068.0,7068.0,39.0,15.0,230876.0,484476.0,7070.878
P2310,DCE,棕榈油2310,150139,2023-10-10,2023-10-10,6930.0,6942.0,6930.0,6938.0,7252.0,6976.0,7050.0,6938.0,5.0,8.0,3.0,846.0,6936.667
P2311,DCE,棕榈油2311,225958,2023-10-10,2023-10-10,7086.0,7098.0,7052.0,0.0,7082.0,7060.0,7076.0,7074.0,2.0,1.0,6156.0,22622.0,7074.6
P2312,DCE,棕榈油2312,225958,2023-10-10,2023-10-10,7112.0,7112.0,7062.0,0.0,7090.0,7070.0,7120.0,7080.0,3.0,1.0,2749.0,32510.0,7082.583
P2401,DCE,棕榈油2401,230000,2023-10-10,2023-10-10,7076.0,7096.0,7042.0,0.0,7072.0,7066.0,7068.0,7068.0,39.0,15.0,230876.0,484476.0,7070.878
P2402,DCE,棕榈油2402,230000,2023-10-10,2023-10-10,7094.0,7110.0,7062.0,0.0,7094.0,7072.0,7088.0,7080.0,74.0,1.0,2077.0,20114.0,7085.833
P2403,DCE,棕榈油2403,225958,2023-10-10,2023-10-10,7106.0,7130.0,7084.0,0.0,7114.0,7088.0,7134.0,7098.0,66.0,22.0,1361.0,15930.0,7105.982
P2404,DCE,棕榈油2404,225959,2023-10-10,2023-10-10,7112.0,7130.0,7086.0,0.0,7112.0,7060.0,7126.0,7096.0,10.0,6.0,1293.0,6098.0,7107.522
P2405,DCE,棕榈油2405,225958,2023-10-10,2023-10-10,7082.0,7128.0,7082.0,0.0,7102.0,7092.0,7106.0,7098.0,1.0,1.0,13012.0,80326.0,7104.053
P2406,DCE,棕榈油2406,225958,2023-10-10,2023-10-10,7076.0,7094.0,7054.0,0.0,7072.0,7050.0,7118.0,7070.0,3.0,1.0,71.0,726.0,7081.69
P2407,DCE,棕榈油2407,225959,2023-10-10,2023-10-10,7048.0,7058.0,7030.0,0.0,7054.0,6800.0,7104.0,7050.0,1.0,7.0,34.0,947.0,7049.176
P2408,DCE,棕榈油2408,230000,2023-10-10,2023-10-10,7034.0,7042.0,7016.0,0.0,7050.0,7000.0,7088.0,7018.0,1.0,1.0,38.0,1515.0,7033.368
P2409,DCE,棕榈油2409,225959,2023-10-10,2023-10-10,7010.0,7012.0,6956.0,0.0,7014.0,6940.0,6974.0,6956.0,2.0,1.0,258.0,877.0,6989.395
B0,DCE,豆二连续,225959,2023-10-10,2023-10-10,4422.0,4461.0,4406.0,0.0,4443.0,4436.0,4437.0,4436.0,13.0,5.0,33990.0,60635.0,4436.206
B2310,DCE,豆二2310,225951,2023-10-10,2023-10-10,4402.0,4422.0,4398.0,0.0,4436.0,4220.0,4419.0,4398.0,71.0,1.0,43.0,2686.0,4414.279
B2311,DCE,豆二2311,225959,2023-10-10,2023-10-10,4422.0,4461.0,4406.0,0.0,4443.0,4436.0,4437.0,4436.0,13.0,5.0,33990.0,60635.0,4436.206
B2312,DCE,豆二2312,230000,2023-10-10,2023-10-10,4319.0,4355.0,4308.0,0.0,4336.0,4328.0,4331.0,4331.0,6.0,1.0,6954.0,18444.0,4333.351
B2401,DCE,豆二2401,225958,2023-10-10,2023-10-10,4293.0,4326.0,4285.0,0.0,4315.0,4301.0,4303.0,4303.0,1.0,3.0,2051.0,7177.0,4304.558
B2402,DCE,豆二2402,225957,2023-10-10,2023-10-10,4230.0,4252.0,4223.0,0.0,4242.0,4212.0,4275.0,4239.0,3.0,8.0,811.0,1994.0,4239.901
B2403,DCE,豆二2403,225956,2023-10-10,2023-10-10,4122.0,4144.0,4118.0,0.0,4142.0,4107.0,4208.0,4125.0,6.0,4.0,533.0,1421.0,4131.281
B2404,DCE,豆二2404,230000,2023-10-10,2023-10-10,4002.0,4020.0,4002.0,0.0,4010.0,3933.0,0.0,4017.0,1.0,0.0,10.0,306.0,4012.2
B2405,DCE,豆二2405,230000,2023-10-10,2023-10-10,3923.0,3936.0,3921.0,0.0,3929.0,3922.0,3928.0,3927.0,1.0,1.0,82.0,4921.0,3928.585
B2406,DCE,豆二2406,230000,2023-10-10,2023-10-10,3912.0,3928.0,3907.0,0.0,3911.0,3901.0,3941.0,3911.0,1.0,1.0,11.0,451.0,3911.364
B2407,DCE,豆二2407,225956,2023-10-10,2023-10-10,3908.0,3932.0,3908.0,0.0,3920.0,3900.0,3931.0,3910.0,3.0,1.0,9.0,1341.0,3916.444
B2408,DCE,豆二2408,225956,2023-10-10,2023-10-10,3927.0,3935.0,3927.0,0.0,3937.0,3908.0,4005.0,3935.0,1.0,1.0,7.0,333.0,3932.571
B2409,DCE,豆二2409,225954,2023-10-10,2023-10-10,3950.0,3955.0,3943.0,0.0,3956.0,3942.0,3959.0,3943.0,1.0,6.0,11.0,189.0,3950.909
M0,DCE,豆粕连续,230000,2023-10-10,2023-10-10,3805.0,3838.0,3800.0,0.0,3831.0,3814.0,3815.0,3815.0,3.0,67.0,427416.0,1547890.0,3817.785
M2311,DCE,豆粕2311,230000,2023-10-10,2023-10-10,4055.0,4083.0,4033.0,0.0,4063.0,4060.0,4063.0,4063.0,96.0,94.0,37708.0,175133.0,4060.036
M2312,DCE,豆粕2312,225959,2023-10-10,2023-10-10,3870.0,3907.0,3859.0,0.0,3889.0,3888.0,3893.0,3890.0,2.0,2.0,7577.0,61578.0,3888.16
M2401,DCE,豆粕2401,230000,2023-10-10,2023-10-10,3805.0,3838.0,3800.0,0.0,3831.0,3814.0,3815.0,3815.0,3.0,67.0,427416.0,1547890.0,3817.785
